id,name,jurisdiction_id
4722,Polizeiinspektion Ludwigshafen 1,6
9705,Stadt Kassel,94
8960,Landratsamt Rottweil,91
5280,Kassenärztliche Vereinigung Rheinland-Pfalz,6
6184,Ministerpräsident und Chef der Staatskanzlei Saarland,9
75,Bundeskartellamt,1
3821,Bezirksamt Spandau,4
29,AOK Sachsen/Thüringen,89
290,Bundesanstalt für Landwirtschaft und Ernährung,1
7262,Unabhängiges Landeszentrum für Datenschutz Schleswig-Holstein,11
3122,Staatsanwaltschaft Dortmund,2
15427,Landratsamt Reutlingen - Kreisveterinär- und Lebensmittelüberwachungsamt,91
3008,"Ministerium für Umwelt, Naturschutz und Verkehr des Landes Nordrhein-Westfalen",2
5142,Ministerium für Bildung und Kindertagesförderung des Landes Mecklenburg-Vorpommern,7
6170,Ministerium der Justiz Saarland,9
4968,Verbandsgemeindeverwaltung Otterbach-Otterberg,6
4593,Kreisverwaltung Mayen-Koblenz,6
4620,Landesbetrieb Deutsche Staatsphilharmonie Rheinland-Pfalz,6
15314,Stadt Ludwigshafen am Rhein - Bereich Öffentliche Ordnung,6
17032,Stadt Münster,2
8856,Justizvollzugsanstalt Freiburg,91
3775,Zentraldienst der Polizei,3
50165,Stadtverwaltung Neuss,2
2471,Arbeitsgericht Köln,2
15169,Bundesanstalt Technisches Hilfswerk Landesverband Nordrhein-Westfalen,1
17570,Stadtwerke Menden,2
2992,Der Landrat als Kreispolizeibehörde Rhein-Sieg-Kreis,2
15589,Stadt Essen - Veterinär- und Lebensmittelüberwachungsamt,2
40669,St. Ursula-Gymnasium (Brühl),2
3981,Asklepios Kliniken Verwaltungsgesellschaft GmbH,5
14158,Jobcenter Landkreis Harburg,1
8865,Justizvollzugsanstalt Rottweil,91
12917,Technische Universität Dresden,89
8863,Justizvollzugsanstalt Ravensburg,91
7860,Amtsgericht Heilbronn,91
7862,Amtsgericht Karlsruhe,91
8899,Der Landesbeauftragte für den Datenschutz und die Informationsfreiheit Baden-Württemberg,91
15594,Stadt Köln - Umwelt- und Verbraucherschutzamt - Lebensmittelüberwachung und Veterinärdienste,2
8860,Justizvollzugsanstalt Konstanz,91
15500,Landratsamt Kelheim,92
17414,Stadtwerke München (SWM),92
4617,Landesbeauftragter für den Datenschutz und die Informationsfreiheit Rheinland-Pfalz,6
8858,Justizvollzugsanstalt Heimsheim,91
10913,Staatsbetrieb Sächsische Informatik Dienste,89
4840,Stadtverwaltung Landau in der Pfalz,6
3495,Kommunalverwaltung Bonn,2
10291,Niedersächsisches Ministerium für Wissenschaft und Kultur,93
9197,Stadt Esslingen am Neckar,91
16197,Staatliches Schulamt Offenbach,94
4584,Kreisverwaltung Bernkastel-Wittlich,6
17113,Justizvollzugsanstalt Heidering,4
4107,Erstes Deutsches Fernsehen,1
15566,Kreis Mettmann - Amt für Verbraucherschutz,2
4596,Kreisverwaltung Rhein-Lahn-Kreis,6
15446,Veterinär- und Lebensmittelaufsichtsamt Friedrichshain-Kreuzberg,4
15243,Stadtverwaltung Weimar - Veterinär-und Lebensmittelüberwachungsamt,10
3880,Justizvollzugsanstalt des Offenen Vollzuges Berlin,4
18248,Saarländischer Rundfunk,9
15644,Informationstechnikzentrum Bund,1
3883,Justizvollzugsanstalt Plötzensee,4
50172,Freiburger Verkehrs AG,91
134,Bundesverfassungsgericht,1
19707,Stadt Kulmbach - Landkreis Kulmbach-,92
3897,Landesamt für Bürger- und Ordnungsangelegenheiten,4
